,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
6584,Х669ХТ_97,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
6585,Х457ВТ_00,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6586,Н405УХ_43,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6587,Р413МТ_70,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6588,У766МК_56,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6589,Х810ХК_81,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6590,Н786СЕ_29,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6591,М277ЕС_08,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6592,С177ВР_22,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6593,Х340НУ_51,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6594,Р986ОН_70,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6595,А828КА_04,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6596,Х070КО_64,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6597,К365АМ_68,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6598,О410ОН_71,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
6599,К901СС_44,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
6600,К913СХ_83,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6601,С289НО_72,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6602,В339АН_07,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,серый
6603,О213УВ_05,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6604,У563ОХ_98,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
6605,Т435СМ_12,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6606,О908МК_66,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6607,С844ТМ_93,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6608,Н043ВУ_33,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6609,Т133СТ_75,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6610,Х270МН_87,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,чёрный
6611,У397МТ_78,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6612,С015РС_52,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,синий
6613,Х898КМ_21,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6614,Р231МА_81,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6615,У828ОУ_09,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,пурпурный
6616,С436КВ_80,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6617,Т687ХР_07,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6618,К678ТА_95,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,белый
6619,У597ЕМ_99,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6620,О190НТ_92,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6621,К511ТВ_76,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6622,К110МС_13,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6623,С277НВ_29,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6624,О639АС_78,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6625,В541УТ_44,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6626,О701ТМ_96,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6627,А466ТК_82,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6628,Н465МН_85,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6629,Т173ХМ_89,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6630,Х464ВВ_53,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6631,Е054ТМ_61,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6632,К603СТ_57,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6633,М514ВС_27,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
6634,Р688ВВ_25,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6635,М042ВЕ_98,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6636,К582ОК_01,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,чёрный
6637,К379РР_98,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
6638,А596АС_32,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6639,Н304НА_16,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6640,Н888РУ_43,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6641,С557НН_34,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
6642,В910АВ_97,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6643,В542УК_77,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6644,О198ЕМ_91,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6645,Е078СА_48,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6646,М554МО_47,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6647,Р662ХН_01,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,синий
6648,Х183СА_48,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6649,Р174НР_01,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,серый
6650,Р469ТХ_25,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6651,Е739АЕ_02,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6652,Н914ОМ_62,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,чёрный
6653,В949НМ_31,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6654,Т365ХТ_91,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6655,М207УХ_18,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,пурпурный
6656,О866МТ_93,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6657,С866АН_72,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6658,О509МР_31,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6659,Т530АК_47,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6660,Р879МК_46,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6661,Х152АТ_15,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6662,С766РС_18,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6663,О368РЕ_47,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6664,К545УК_95,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6665,С410ЕО_38,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6666,Т566АС_83,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6667,У240КЕ_73,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6668,Е654ХМ_20,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6669,О315КТ_70,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6670,Е454ОО_41,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6671,Х332ЕО_77,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6672,Х144МУ_61,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,пурпурный
6673,М729НН_05,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
6674,А539МО_54,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6675,К838ТЕ_70,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6676,В941НН_62,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6677,В703ОМ_37,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,чёрный
6678,С329ОО_96,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6679,К714СВ_73,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6680,У249СХ_82,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
6681,А162ЕС_48,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6682,К691ХС_16,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6683,Н769ВТ_08,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6684,Х764НС_31,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,белый
6685,Х095ОР_33,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6686,У510РК_35,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,чёрный
6687,К041РМ_04,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6688,Н086УК_09,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6689,У693ОТ_17,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,синий
6690,Т656АУ_88,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6691,А097НХ_78,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6692,У157ОВ_52,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,синий
6693,С967МР_33,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6694,А208МЕ_66,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6695,К664АВ_75,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6696,Т517ЕС_83,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6697,К181ХУ_86,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6698,Н316ТЕ_23,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6699,Р282ХМ_49,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6700,Х918СХ_38,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6701,Т691КО_86,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6702,К257СУ_57,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6703,В518ММ_65,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6704,А317СО_20,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6705,Т768ХН_57,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6706,Е700ТТ_23,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6707,Т945КМ_94,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6708,Е876НВ_80,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6709,С935РЕ_04,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,серый
6710,О908КН_29,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
6711,В284УС_81,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6712,Н469ВВ_56,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6713,К972ТС_80,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,синий
6714,А162РА_59,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6715,К888ОВ_34,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,пурпурный
6716,У168ОС_79,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6717,Х611ВО_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6718,У533ТУ_04,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6719,О099ТХ_70,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6720,Е017МР_24,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6721,В384ТС_54,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,чёрный
6722,О866УМ_48,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6723,У963ХВ_53,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,пурпурный
6724,У826КТ_85,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6725,Е587КТ_13,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6726,О118КР_66,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,синий
6727,О875ТН_35,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6728,Х683УО_41,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6729,Х509НС_88,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,синий
6730,А207СМ_73,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6731,Х607МХ_15,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6732,Х638ВЕ_48,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6733,У838УР_35,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6734,Т989ОР_67,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6735,С013КУ_91,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6736,Е224НЕ_15,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6737,С571МУ_67,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6738,Е384МР_22,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6739,У718КЕ_71,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6740,У034ВС_06,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6741,О974НА_28,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6742,Х292РК_82,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6743,С688ЕТ_81,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6744,У353СХ_26,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,чёрный
6745,С707КЕ_91,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6746,С207ХР_36,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6747,Х537НХ_27,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
6748,Т417АЕ_49,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6749,В011МУ_78,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6750,Н863НХ_29,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
6751,М339РА_06,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6752,К359МО_69,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6753,В064УС_63,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
6754,С359РА_27,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6755,Т405ВА_09,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6756,Т105КС_66,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6757,М994УМ_27,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,серый
6758,Е663СМ_73,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,белый
6759,О114ОВ_97,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6760,А869УМ_27,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6761,К401УР_21,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6762,Е540МН_70,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6763,У065АА_40,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,белый
6764,Т450РР_67,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6765,А585ВО_11,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6766,Т681МО_36,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,белый
6767,Р434АК_99,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
6768,О635СН_13,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6769,Н041ОА_35,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6770,А880СО_11,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6771,К610УМ_53,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6772,Х176РН_44,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6773,Е225ТС_73,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6774,М962АО_98,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6775,Х242ЕН_57,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6776,Н112ВВ_97,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6777,Р935СО_81,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6778,Е125КА_29,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6779,Х056МХ_74,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6780,М677ХУ_81,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6781,Т844АМ_78,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6782,О772КЕ_96,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6783,Е207РМ_50,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,чёрный
6784,Х765ТХ_54,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,чёрный
6785,Р690НС_08,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6786,Н902ВР_91,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6787,У363ХТ_07,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6788,М543ЕА_09,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
6789,А421АН_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6790,А826ТХ_04,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6791,Т532УМ_74,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6792,Р459МО_81,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6793,В526УК_06,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6794,М409МС_11,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,серый
6795,М007ВУ_25,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,пурпурный
6796,Н060СУ_34,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6797,М602НУ_39,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,белый
6798,М124СЕ_32,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6799,О281МН_28,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6800,У368СУ_34,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6801,С691ТА_97,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,белый
6802,Н056НМ_54,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6803,Р204КО_35,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,чёрный
6804,Т922ЕМ_48,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6805,Р212СА_53,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6806,Е052ХН_90,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6807,О363ОО_16,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6808,О745ОА_92,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6809,С197АА_27,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6810,А262ОЕ_02,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6811,Х892ОВ_44,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6812,Т795МХ_43,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6813,С441КУ_01,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6814,С421АН_27,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6815,Р296ВУ_75,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6816,Н081ВР_15,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6817,Т218КМ_77,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6818,М832КР_77,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6819,В260МС_89,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6820,М788ХВ_17,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,пурпурный
6821,А067НТ_39,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
6822,В641ТЕ_52,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6823,Т186НМ_96,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6824,К981КН_80,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
6825,В217РЕ_33,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6826,А525ЕО_88,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
6827,Р446РТ_43,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6828,А183ТС_90,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6829,А194УТ_64,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6830,М241ЕМ_01,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6831,Т920АВ_06,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6832,Т276УН_30,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,синий
6833,Н704НК_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6834,С126ВК_48,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,белый
6835,Т683УР_84,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6836,К245КС_56,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6837,Н389АО_14,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,синий
6838,М148ММ_96,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6839,С086УМ_75,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6840,К581МР_22,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,белый
6841,В315СВ_02,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6842,Е438НО_85,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6843,С426ЕМ_37,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6844,Н180НМ_32,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6845,У017ХВ_48,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6846,К243ХВ_59,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6847,Е032НУ_90,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6848,У422КА_19,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6849,К342ХО_19,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6850,С712МУ_22,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6851,К726ТС_36,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
6852,С666СР_23,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
